Bee_ID,Maternal_colony,Weight,Submersion,Duration,Tx,Time,Survival
C66,C,303,underwater,24,underwater_24,8,1
D100,D,847,floating,7,floating_7,1,1
D100,D,847,floating,7,floating_7,4,1
D100,D,847,floating,7,floating_7,8,1
D101,D,807,floating,7,floating_7,1,1
D101,D,807,floating,7,floating_7,4,1
D101,D,807,floating,7,floating_7,8,1
D102,D,643,floating,24,floating_24,1,1
D102,D,643,floating,24,floating_24,4,1
D102,D,643,floating,24,floating_24,8,1
D103,D,898,floating,7,floating_7,1,1
D103,D,898,floating,7,floating_7,4,1
D103,D,898,floating,7,floating_7,8,1
D104,D,958,floating,24,floating_24,1,1
D104,D,958,floating,24,floating_24,4,1
D104,D,958,floating,24,floating_24,8,1
D105,D,877,floating,8,floating_8,1,1
D105,D,877,floating,8,floating_8,4,1
D105,D,877,floating,8,floating_8,8,1
D106,D,817,floating,8,floating_8,1,1
D106,D,817,floating,8,floating_8,4,1
D106,D,817,floating,8,floating_8,8,1
D107,D,687,floating,8,floating_8,1,1
D107,D,687,floating,8,floating_8,4,1
D107,D,687,floating,8,floating_8,8,1
D108,D,567,underwater,24,underwater_24,1,0
D108,D,567,underwater,24,underwater_24,4,0
D108,D,567,underwater,24,underwater_24,8,0
D111,D,893,underwater,24,underwater_24,1,1
D111,D,893,underwater,24,underwater_24,4,1
D111,D,893,underwater,24,underwater_24,8,1
D113,D,716,floating,24,floating_24,1,1
D113,D,716,floating,24,floating_24,4,1
D113,D,716,floating,24,floating_24,8,1
D117,D,766,ctl,N/A,ctl,1,0
D117,D,766,ctl,N/A,ctl,4,0
D117,D,766,ctl,N/A,ctl,8,0
D118,D,914,underwater,24,underwater_24,1,1
D118,D,914,underwater,24,underwater_24,4,1
D118,D,914,underwater,24,underwater_24,8,1
D49,D,808,ctl,N/A,ctl,1,1
D49,D,808,ctl,N/A,ctl,4,1
D49,D,808,ctl,N/A,ctl,8,1
D50,D,776,underwater,8,underwater_8,1,1
D50,D,776,underwater,8,underwater_8,4,1
D50,D,776,underwater,8,underwater_8,8,1
D51,D,543,underwater,8,underwater_8,1,1
D51,D,543,underwater,8,underwater_8,4,1
D51,D,543,underwater,8,underwater_8,8,1
D52,D,961,underwater,8,underwater_8,1,1
D52,D,961,underwater,8,underwater_8,4,1
D52,D,961,underwater,8,underwater_8,8,1
D53,D,628,underwater,8,underwater_8,1,1
D53,D,628,underwater,8,underwater_8,4,1
D53,D,628,underwater,8,underwater_8,8,1
D54,D,795,underwater,8,underwater_8,1,1
D54,D,795,underwater,8,underwater_8,4,1
D54,D,795,underwater,8,underwater_8,8,1
D55,D,906,floating,7,floating_7,1,1
D55,D,906,floating,7,floating_7,4,1
D55,D,906,floating,7,floating_7,8,1
D56,D,922,underwater,8,underwater_8,1,1
D56,D,922,underwater,8,underwater_8,4,1
D56,D,922,underwater,8,underwater_8,8,1
D57,D,943,underwater,8,underwater_8,1,1
D57,D,943,underwater,8,underwater_8,4,1
D57,D,943,underwater,8,underwater_8,8,1
D58,D,851,floating,24,floating_24,1,1
D58,D,851,floating,24,floating_24,4,1
D58,D,851,floating,24,floating_24,8,0
D59,D,705,floating,7,floating_7,1,1
D59,D,705,floating,7,floating_7,4,1
D59,D,705,floating,7,floating_7,8,1
D60,D,589,floating,7,floating_7,1,1
D60,D,589,floating,7,floating_7,4,1
D60,D,589,floating,7,floating_7,8,1
D61,D,623,underwater,7,underwater_7,1,1
D61,D,623,underwater,7,underwater_7,4,1
D61,D,623,underwater,7,underwater_7,8,1
D62,D,879,floating,8,floating_8,1,1
D62,D,879,floating,8,floating_8,4,1
D62,D,879,floating,8,floating_8,8,1
D63,D,852,floating,8,floating_8,1,1
D63,D,852,floating,8,floating_8,4,1
D63,D,852,floating,8,floating_8,8,1
D64,D,649,floating,24,floating_24,1,1
D64,D,649,floating,24,floating_24,4,1
D64,D,649,floating,24,floating_24,8,1
D65,D,857,floating,24,floating_24,1,1
D65,D,857,floating,24,floating_24,4,1
D65,D,857,floating,24,floating_24,8,1
D67,D,909,floating,24,floating_24,1,1
D67,D,909,floating,24,floating_24,4,1
D67,D,909,floating,24,floating_24,8,1
D68,D,905,floating,8,floating_8,1,1
D68,D,905,floating,8,floating_8,4,1
D68,D,905,floating,8,floating_8,8,1
D69,D,772,underwater,7,underwater_7,1,1
D69,D,772,underwater,7,underwater_7,4,0
D69,D,772,underwater,7,underwater_7,8,0
D71,D,811,floating,24,floating_24,1,1
D71,D,811,floating,24,floating_24,4,1
D71,D,811,floating,24,floating_24,8,1
D72,D,502,underwater,7,underwater_7,1,1
D72,D,502,underwater,7,underwater_7,4,0
D72,D,502,underwater,7,underwater_7,8,0
D73,D,923,floating,24,floating_24,1,1
D73,D,923,floating,24,floating_24,4,1
D73,D,923,floating,24,floating_24,8,1
D74,D,797,underwater,7,underwater_7,1,1
D74,D,797,underwater,7,underwater_7,4,1
D74,D,797,underwater,7,underwater_7,8,1
D75,D,831,underwater,7,underwater_7,1,1
D75,D,831,underwater,7,underwater_7,4,1
D75,D,831,underwater,7,underwater_7,8,1
D76,D,899,underwater,8,underwater_8,1,1
D76,D,899,underwater,8,underwater_8,4,1
D76,D,899,underwater,8,underwater_8,8,1
D77,D,816,floating,8,floating_8,1,1
D77,D,816,floating,8,floating_8,4,1
D77,D,816,floating,8,floating_8,8,1
D78,D,959,underwater,7,underwater_7,1,1
D78,D,959,underwater,7,underwater_7,4,1
D78,D,959,underwater,7,underwater_7,8,1
D79,D,889,underwater,8,underwater_8,1,1
D79,D,889,underwater,8,underwater_8,4,1
D79,D,889,underwater,8,underwater_8,8,1
D80,D,553,underwater,8,underwater_8,1,1
D80,D,553,underwater,8,underwater_8,4,1
D80,D,553,underwater,8,underwater_8,8,1
D81,D,866,floating,8,floating_8,1,1
D81,D,866,floating,8,floating_8,4,1
D81,D,866,floating,8,floating_8,8,1
D82,D,882,floating,8,floating_8,1,1
D82,D,882,floating,8,floating_8,4,1
D82,D,882,floating,8,floating_8,8,1
D83,D,698,underwater,24,underwater_24,1,1
D83,D,698,underwater,24,underwater_24,4,1
D83,D,698,underwater,24,underwater_24,8,1
D84,D,856,underwater,24,underwater_24,1,1
D84,D,856,underwater,24,underwater_24,4,1
D84,D,856,underwater,24,underwater_24,8,1
D85,D,860,underwater,7,underwater_7,1,1
D85,D,860,underwater,7,underwater_7,4,1
D85,D,860,underwater,7,underwater_7,8,1
D86,D,872,underwater,7,underwater_7,1,1
D86,D,872,underwater,7,underwater_7,4,1
D86,D,872,underwater,7,underwater_7,8,1
D87,D,753,underwater,7,underwater_7,1,1
D87,D,753,underwater,7,underwater_7,4,1
D87,D,753,underwater,7,underwater_7,8,1
D88,D,652,floating,24,floating_24,1,1
D88,D,652,floating,24,floating_24,4,1
D88,D,652,floating,24,floating_24,8,1
D89,D,616,underwater,24,underwater_24,1,1
D89,D,616,underwater,24,underwater_24,4,1
D89,D,616,underwater,24,underwater_24,8,1
D90,D,905,floating,7,floating_7,1,1
D90,D,905,floating,7,floating_7,4,1
D90,D,905,floating,7,floating_7,8,1
D91,D,848,floating,7,floating_7,1,1
D91,D,848,floating,7,floating_7,4,1
D91,D,848,floating,7,floating_7,8,1
D92,D,906,underwater,7,underwater_7,1,1
D92,D,906,underwater,7,underwater_7,4,1
D92,D,906,underwater,7,underwater_7,8,1
D93,D,659,ctl,N/A,ctl,1,1
D93,D,659,ctl,N/A,ctl,4,1
D93,D,659,ctl,N/A,ctl,8,1
D94,D,801,floating,24,floating_24,1,1
D94,D,801,floating,24,floating_24,4,1
D94,D,801,floating,24,floating_24,8,1
D95,D,740,floating,7,floating_7,1,1
D95,D,740,floating,7,floating_7,4,1
D95,D,740,floating,7,floating_7,8,1
D96,D,872,underwater,24,underwater_24,1,1
D96,D,872,underwater,24,underwater_24,4,1
D96,D,872,underwater,24,underwater_24,8,1
D97,D,762,floating,7,floating_7,1,1
D97,D,762,floating,7,floating_7,4,1
D97,D,762,floating,7,floating_7,8,1
D98,D,773,underwater,24,underwater_24,1,1
D98,D,773,underwater,24,underwater_24,4,1
D98,D,773,underwater,24,underwater_24,8,1
D99,D,830,floating,8,floating_8,1,1
D99,D,830,floating,8,floating_8,4,1
D99,D,830,floating,8,floating_8,8,1
E01a,E,NA,underwater,7,underwater_7,1,1
E01a,E,NA,underwater,7,underwater_7,4,1
E01a,E,NA,underwater,7,underwater_7,8,1
E01b,E,NA,underwater,24,underwater_24,1,1
E01b,E,NA,underwater,24,underwater_24,4,1
E01b,E,NA,underwater,24,underwater_24,8,1
E02a,E,NA,underwater,24,underwater_24,1,1
E02a,E,NA,underwater,24,underwater_24,4,1
E02a,E,NA,underwater,24,underwater_24,8,1
E02b,E,NA,floating,24,floating_24,1,1
E02b,E,NA,floating,24,floating_24,4,1
E02b,E,NA,floating,24,floating_24,8,1
E03a,E,NA,floating,7,floating_7,1,1
E03a,E,NA,floating,7,floating_7,4,1
E03a,E,NA,floating,7,floating_7,8,0
E03b,E,NA,ctl,N/A,ctl,1,1
E03b,E,NA,ctl,N/A,ctl,4,1
E03b,E,NA,ctl,N/A,ctl,8,1
E04a,E,NA,ctl,N/A,ctl,1,1
E04a,E,NA,ctl,N/A,ctl,4,1
E04a,E,NA,ctl,N/A,ctl,8,1
E04b,E,NA,underwater,8,underwater_8,1,1
E04b,E,NA,underwater,8,underwater_8,4,1
E04b,E,NA,underwater,8,underwater_8,8,1
E05a,E,NA,ctl,N/A,ctl,1,1
E05a,E,NA,ctl,N/A,ctl,4,1
E05a,E,NA,ctl,N/A,ctl,8,1
E05b,E,NA,floating,8,floating_8,1,1
E05b,E,NA,floating,8,floating_8,4,1
E05b,E,NA,floating,8,floating_8,8,1
E06a,E,NA,underwater,24,underwater_24,1,1
E06a,E,NA,underwater,24,underwater_24,4,1
E06a,E,NA,underwater,24,underwater_24,8,1
E06b,E,NA,floating,24,floating_24,1,1
E06b,E,NA,floating,24,floating_24,4,1
E06b,E,NA,floating,24,floating_24,8,1
E07a,E,NA,underwater,24,underwater_24,1,1
E07a,E,NA,underwater,24,underwater_24,4,1
E07a,E,NA,underwater,24,underwater_24,8,1
E07b,E,NA,underwater,24,underwater_24,1,1
E07b,E,NA,underwater,24,underwater_24,4,1
E07b,E,NA,underwater,24,underwater_24,8,1
E08,E,568,underwater,7,underwater_7,1,1
E08,E,568,underwater,7,underwater_7,4,1
E08,E,568,underwater,7,underwater_7,8,1
E09,E,868,floating,7,floating_7,1,1
E09,E,868,floating,7,floating_7,4,1
E09,E,868,floating,7,floating_7,8,1
E10,E,548,floating,8,floating_8,1,1
E10,E,548,floating,8,floating_8,4,1
E10,E,548,floating,8,floating_8,8,1
E11,E,658,ctl,N/A,ctl,1,1
E11,E,658,ctl,N/A,ctl,4,1
E11,E,658,ctl,N/A,ctl,8,1
E12,E,465,floating,24,floating_24,1,1
E12,E,465,floating,24,floating_24,4,0
E12,E,465,floating,24,floating_24,8,0
E13,E,680,underwater,24,underwater_24,1,1
E13,E,680,underwater,24,underwater_24,4,1
E13,E,680,underwater,24,underwater_24,8,1
E14,E,714,underwater,8,underwater_8,1,1
E14,E,714,underwater,8,underwater_8,4,1
E14,E,714,underwater,8,underwater_8,8,1
E15,E,770,underwater,24,underwater_24,1,1
E15,E,770,underwater,24,underwater_24,4,1
E15,E,770,underwater,24,underwater_24,8,1
